flow_index,time_s,src,dst,pg,size_bytes,class,event_id
0,2.000009700,48,153,3,2048,background,
1,2.000030119,33,259,3,2048,background,
2,2.000046844,35,318,3,1024,background,
3,2.000088847,38,194,3,512,background,
4,2.000110362,8,231,3,512,background,
5,2.000143277,17,294,3,2048,background,
6,2.000214013,38,155,3,8192,background,
7,2.000217966,0,32,3,512,background,
8,2.000247297,40,104,3,4096,background,
9,2.000268566,38,31,3,1024,background,
10,2.000287382,19,76,3,16384,background,
11,2.000296427,33,47,3,1024,background,
12,2.000345308,46,34,3,2048,background,
13,2.000361769,13,170,3,2048,background,
14,2.000415547,36,105,3,2048,background,
15,2.000477070,38,140,3,4096,background,
16,2.000564926,9,175,3,1024,background,
17,2.000568543,43,152,3,512,background,
18,2.000626227,29,292,3,1024,background,
19,2.000636516,12,273,3,1024,background,
20,2.000764722,26,166,3,1024,background,
21,2.000776127,18,137,3,1024,background,
22,2.000879590,9,55,3,512,background,
23,2.000887241,18,38,3,512,background,
24,2.000902296,18,183,3,1024,background,
25,2.000925638,7,14,3,4096,background,
26,2.000966248,36,54,3,512,background,
27,2.001000000,24,319,3,65536,incast,0
28,2.001000000,53,319,3,65536,incast,0
29,2.001000000,77,319,3,65536,incast,0
30,2.001000000,85,319,3,65536,incast,0
31,2.001000000,93,319,3,65536,incast,0
32,2.001000000,145,319,3,65536,incast,0
33,2.001000000,169,319,3,65536,incast,0
34,2.001000000,191,319,3,65536,incast,0
35,2.001000000,208,319,3,65536,incast,0
36,2.001000000,227,319,3,65536,incast,0
37,2.001000000,231,319,3,65536,incast,0
38,2.001000000,235,319,3,65536,incast,0
39,2.001000000,253,319,3,65536,incast,0
40,2.001000000,256,319,3,65536,incast,0
41,2.001000000,265,319,3,65536,incast,0
42,2.001000000,285,319,3,65536,incast,0
43,2.001049480,43,266,3,1024,background,
44,2.001055369,42,105,3,512,background,
45,2.001132940,1,224,3,8192,background,
46,2.001177559,21,275,3,1024,background,
47,2.001186959,25,20,3,1024,background,
48,2.001187799,47,96,3,4096,background,
49,2.001241061,39,267,3,8192,background,
50,2.001251308,0,230,3,1024,background,
51,2.001330092,25,130,3,2048,background,
52,2.001332875,38,97,3,512,background,
53,2.001335082,15,82,3,512,background,
54,2.001474250,46,40,3,4096,background,
55,2.001551878,36,51,3,8192,background,
56,2.001561758,48,276,3,512,background,
57,2.001611797,15,123,3,512,background,
58,2.001621401,36,305,3,512,background,
59,2.001626170,6,311,3,8192,background,
60,2.001634818,6,262,3,4096,background,
61,2.001679992,42,200,3,8192,background,
62,2.001800385,25,42,3,8192,background,
63,2.001887949,34,284,3,512,background,
64,2.001938453,21,173,3,512,background,
65,2.001958339,16,163,3,1024,background,
66,2.001972493,0,107,3,512,background,
67,2.001999471,31,34,3,1024,background,
68,2.002000000,13,318,3,65536,incast,1
69,2.002000000,52,318,3,65536,incast,1
70,2.002000000,69,318,3,65536,incast,1
71,2.002000000,83,318,3,65536,incast,1
72,2.002000000,103,318,3,65536,incast,1
73,2.002000000,147,318,3,65536,incast,1
74,2.002000000,199,318,3,65536,incast,1
75,2.002000000,223,318,3,65536,incast,1
76,2.002000000,229,318,3,65536,incast,1
77,2.002000000,237,318,3,65536,incast,1
78,2.002000000,249,318,3,65536,incast,1
79,2.002000000,264,318,3,65536,incast,1
80,2.002000000,272,318,3,65536,incast,1
81,2.002000000,276,318,3,65536,incast,1
82,2.002000000,293,318,3,65536,incast,1
83,2.002000000,309,318,3,65536,incast,1
84,2.002014227,24,304,3,512,background,
85,2.002015933,0,199,3,1024,background,
86,2.002020159,10,64,3,8192,background,
87,2.002026684,25,315,3,4096,background,
88,2.002056728,3,206,3,1024,background,
89,2.002060310,33,309,3,512,background,
90,2.002062042,30,156,3,2048,background,
91,2.002106290,48,161,3,16384,background,
92,2.002177376,41,228,3,512,background,
93,2.002177628,43,76,3,512,background,
94,2.002202062,29,193,3,1024,background,
95,2.002212911,24,310,3,8192,background,
96,2.002223539,5,276,3,8192,background,
97,2.002235940,26,249,3,8192,background,
98,2.002238645,8,127,3,512,background,
99,2.002285488,20,319,3,4096,background,
100,2.002300376,14,193,3,512,background,
101,2.002343681,3,280,3,4096,background,
102,2.002348799,1,176,3,512,background,
103,2.002427650,26,307,3,1024,background,
104,2.002449649,7,281,3,1024,background,
105,2.002526069,16,32,3,512,background,
106,2.002551656,32,309,3,512,background,
107,2.002697798,27,228,3,4096,background,
108,2.002721767,1,235,3,8192,background,
109,2.002739401,6,287,3,512,background,
110,2.002858327,9,107,3,8192,background,
111,2.002865786,38,142,3,2048,background,
112,2.002890830,19,163,3,512,background,
113,2.002943171,21,213,3,16384,background,
114,2.002963457,30,271,3,512,background,
115,2.002969442,2,61,3,2048,background,
116,2.002972011,21,181,3,1024,background,
117,2.003000000,24,317,3,65536,incast,2
118,2.003000000,35,317,3,65536,incast,2
119,2.003000000,44,317,3,65536,incast,2
120,2.003000000,47,317,3,65536,incast,2
121,2.003000000,49,317,3,65536,incast,2
122,2.003000000,59,317,3,65536,incast,2
123,2.003000000,76,317,3,65536,incast,2
124,2.003000000,112,317,3,65536,incast,2
125,2.003000000,164,317,3,65536,incast,2
126,2.003000000,166,317,3,65536,incast,2
127,2.003000000,171,317,3,65536,incast,2
128,2.003000000,179,317,3,65536,incast,2
129,2.003000000,227,317,3,65536,incast,2
130,2.003000000,235,317,3,65536,incast,2
131,2.003000000,244,317,3,65536,incast,2
132,2.003000000,266,317,3,65536,incast,2
133,2.003005407,42,53,3,512,background,
134,2.003080648,11,318,3,1024,background,
135,2.003102776,16,307,3,8192,background,
136,2.003135050,40,27,3,2048,background,
137,2.003140802,13,188,3,512,background,
138,2.003142468,47,131,3,1024,background,
139,2.003155027,47,272,3,2048,background,
140,2.003194733,33,121,3,4096,background,
141,2.003281126,16,110,3,4096,background,
142,2.003289297,48,292,3,16384,background,
143,2.003300372,41,46,3,512,background,
144,2.003309055,34,118,3,1024,background,
145,2.003323494,13,120,3,4096,background,
146,2.003424201,5,207,3,1024,background,
147,2.003431594,29,142,3,2048,background,
148,2.003492152,24,90,3,512,background,
149,2.003507528,14,289,3,512,background,
150,2.003540242,28,12,3,512,background,
151,2.003628869,37,40,3,512,background,
152,2.003655083,25,41,3,1024,background,
153,2.003668211,33,38,3,2048,background,
154,2.003711860,9,10,3,512,background,
155,2.003730276,36,17,3,1024,background,
156,2.003772681,23,140,3,16384,background,
157,2.003790805,48,210,3,1024,background,
158,2.003797830,11,177,3,512,background,
159,2.003823624,22,115,3,512,background,
160,2.003859236,44,28,3,512,background,
161,2.003862380,46,111,3,2048,background,
162,2.003895031,41,154,3,512,background,
163,2.003901171,18,78,3,512,background,
164,2.003976166,14,151,3,1024,background,
165,2.004000000,18,316,3,65536,incast,3
166,2.004000000,50,316,3,65536,incast,3
167,2.004000000,66,316,3,65536,incast,3
168,2.004000000,69,316,3,65536,incast,3
169,2.004000000,82,316,3,65536,incast,3
170,2.004000000,88,316,3,65536,incast,3
171,2.004000000,90,316,3,65536,incast,3
172,2.004000000,136,316,3,65536,incast,3
173,2.004000000,183,316,3,65536,incast,3
174,2.004000000,195,316,3,65536,incast,3
175,2.004000000,197,316,3,65536,incast,3
176,2.004000000,210,316,3,65536,incast,3
177,2.004000000,211,316,3,65536,incast,3
178,2.004000000,237,316,3,65536,incast,3
179,2.004000000,264,316,3,65536,incast,3
180,2.004000000,267,316,3,65536,incast,3
181,2.004021330,35,127,3,4096,background,
182,2.004068258,31,148,3,2048,background,
183,2.004079994,34,247,3,4096,background,
184,2.004091803,30,199,3,1024,background,
185,2.004137746,43,167,3,1024,background,
186,2.004146980,23,36,3,2048,background,
187,2.004149991,46,221,3,512,background,
