time_ns,max_queue_bytes,max_total_buffer_bytes
2000009000,240,384
2000017000,240,240
2000020000,144,144
2000023000,1120,1120
2000025000,240,240
2000026000,96,96
2000041000,1048,1048
2000042000,1048,1048
2000043000,432,432
2000048000,144,144
2000051000,240,240
2000052000,96,96
2000056000,1048,1048
2000057000,3384,3720
2000058000,1288,1288
2000060000,432,432
2000063000,432,600
2000069000,1120,1120
2000070000,144,144
2000072000,1776,1776
2000076000,96,96
2000082000,96,96
2000097000,72,72
2000100000,96,96
2000104000,1144,1144
2000107000,1048,1048
2000108000,1192,1192
2000111000,1048,1192
2000112000,1048,1048
2000119000,72,72
2000121000,96,96
2000123000,72,72
2000127000,72,72
2000128000,1240,1240
2000134000,72,72
2000138000,72,72
2000144000,96,96
2000146000,1048,1048
2000147000,2096,3312
2000148000,2168,2168
2000156000,1048,1144
2000157000,96,96
2000161000,560,560
2000162000,1192,1192
2000179000,72,72
2000183000,2240,2240
2000184000,1048,1048
2000185000,1048,1048
2000186000,1608,2656
2000187000,3528,3528
2000188000,5480,7576
2000189000,3672,4056
2000190000,432,432
2000194000,1048,1048
2000199000,1048,1048
2000200000,1048,1144
2000201000,1288,1288
2000203000,144,144
2000216000,96,96
2000218000,72,72
2000231000,96,96
2000236000,1048,1048
2000238000,96,96
2000239000,1216,1216
2000241000,1240,1240
2000248000,2528,2600
2000249000,1192,1192
2000252000,240,240
2000254000,72,72
2000260000,144,144
2000263000,1120,1120
2000264000,2168,2168
2000265000,3456,3456
2000266000,240,240
2000267000,96,96
2000274000,560,560
2000275000,1192,1192
2000277000,96,96
2000280000,1192,1192
2000282000,1048,1048
2000283000,2096,2096
2000284000,1432,1432
2000285000,72,72
2000286000,96,96
2000289000,72,72
2000291000,72,72
2000294000,72,72
2000297000,144,144
2000303000,144,144
2000306000,72,72
2000307000,1120,1120
2000310000,72,72
2000311000,72,72
2000312000,1048,1048
2000317000,144,240
2000330000,1048,1048
2000335000,2168,2168
2000336000,5384,5384
2000337000,4480,4480
2000338000,3528,3528
2000339000,4288,4384
2000340000,4288,4288
2000341000,4192,4192
2000342000,4192,4192
2000343000,4192,4192
2000344000,6288,6288
2000345000,5816,6936
2000346000,2672,3936
2000347000,72,72
2000356000,96,96
2000357000,2192,3240
2000358000,3144,4192
2000359000,3528,3528
2000360000,1216,1456
2000362000,2096,2096
2000363000,4192,4192
2000364000,5480,5480
2000365000,4576,4576
2000366000,3288,3288
2000367000,2096,2096
2000368000,1048,1048
2000369000,1048,1048
2000370000,1480,1480
2000373000,72,72
2000385000,144,144
2000393000,2096,2096
2000394000,2096,2096
2000395000,2096,2096
2000396000,2168,2168
2000410000,1144,1144
2000412000,1360,1360
2000414000,240,240
2000420000,1048,1048
2000421000,1048,1048
2000426000,1048,1048
2000434000,560,560
2000435000,1048,1048
2000437000,1120,1120
2000438000,1048,1048
2000439000,1048,2096
2000440000,240,240
2000442000,96,96
2000450000,560,560
2000451000,240,240
2000452000,144,240
2000456000,240,240
2000459000,72,72
2000469000,144,144
2000470000,1048,1048
2000471000,3144,3144
2000472000,4336,4336
2000473000,4336,4896
2000474000,3144,4624
2000475000,1480,1480
2000486000,72,72
2000491000,144,144
2000502000,1216,1216
2000506000,560,560
2000511000,1120,1120
2000512000,3144,3144
2000513000,4336,4336
2000514000,2744,2744
2000515000,1120,1120
2000516000,3144,3144
2000517000,5240,5240
2000518000,7576,7576
2000519000,4672,4672
2000520000,1528,1528
2000522000,1192,1192
2000523000,1048,1048
2000524000,216,216
2000526000,1048,1048
2000527000,1048,1048
2000528000,240,240
2000530000,1704,1704
2000531000,5240,5240
2000532000,3720,3720
2000533000,992,992
2000534000,96,168
2000537000,72,72
2000538000,1216,1216
2000544000,72,72
2000546000,560,560
2000550000,1048,1048
2000551000,4432,4432
2000552000,4432,4432
2000553000,3384,3384
2000554000,240,240
2000555000,72,72
2000568000,1192,1192
2000569000,1048,1048
2000576000,1192,1192
2000577000,2336,2432
2000579000,72,72
2000583000,72,72
2000587000,2192,2192
2000588000,2096,2096
2000589000,1288,1288
2000590000,1240,1240
2000592000,1048,1144
2000593000,1048,1048
2000596000,704,704
2000598000,96,96
2000599000,2096,2096
2000600000,3576,3576
2000601000,3576,3672
2000602000,3144,3144
2000603000,3144,3144
2000604000,2528,2528
2000611000,1048,1192
2000612000,4336,4336
2000613000,4576,4576
2000614000,1288,1288
2000618000,1288,1288
2000622000,72,72
2000626000,96,96
2000634000,240,312
2000641000,72,72
2000647000,72,72
2000651000,72,72
2000655000,96,96
2000660000,72,72
2000663000,72,72
2000664000,72,144
2000665000,1120,1120
2000671000,2192,2192
2000672000,2096,2096
2000673000,1288,1288
2000678000,1120,1120
2000679000,2192,2192
2000680000,1480,1480
2000682000,1048,1048
2000683000,3288,3288
2000684000,5240,5240
2000685000,6184,6184
2000686000,3600,4888
2000687000,1120,1264
2000692000,1264,1264
2000697000,144,288
2000700000,96,96
2000702000,96,96
2000708000,240,240
2000710000,1048,1048
2000713000,72,72
2000715000,144,144
2000716000,1048,1048
2000721000,72,72
2000730000,96,96
2000732000,96,96
2000735000,3144,3144
2000736000,4064,4064
2000737000,704,704
2000738000,96,96
2000744000,3576,3576
2000745000,1624,1624
2000749000,72,72
2000750000,72,144
2000752000,144,144
2000756000,1608,1608
2000762000,1048,1048
2000764000,432,432
2000765000,72,72
2000770000,632,704
2000771000,560,560
2000773000,72,72
2000775000,240,240
2000779000,72,72
2000780000,1048,1120
2000783000,2096,2096
2000784000,3288,3288
2000785000,384,384
2000787000,96,96
2000794000,96,96
2000804000,72,72
2000805000,1048,1048
2000806000,1144,1144
2000807000,240,240
2000811000,96,96
2000816000,560,560
2000819000,432,432
2000821000,560,560
2000822000,1048,1048
2000823000,1048,1048
2000824000,1048,1048
2000825000,144,240
2000830000,1120,1120
2000831000,72,72
2000833000,1048,1048
2000834000,1048,1048
2000835000,240,312
2000849000,1048,1192
2000850000,144,144
2000851000,96,96
2000852000,1608,2656
2000853000,1048,1048
2000859000,72,72
2000864000,1120,1264
2000866000,560,632
2000867000,1144,1144
2000868000,1120,1120
2000875000,1048,1048
2000876000,240,336
2000878000,96,96
2000881000,144,144
2000884000,96,96
2000886000,72,72
2000888000,72,72
2000890000,144,144
2000891000,72,72
2000892000,96,96
2000906000,1048,1192
2000907000,2096,2096
2000908000,2096,2096
2000909000,2096,2192
2000910000,1048,2096
2000911000,1048,1048
2000914000,96,168
2000917000,72,72
2000918000,1120,1120
2000919000,1216,2408
2000921000,96,96
2000931000,1192,1288
2000932000,72,72
2000933000,1048,1048
2000934000,704,704
2000958000,4288,4288
2000959000,6288,6360
2000960000,8384,8384
2000961000,9432,9432
2000962000,11840,11984
2000963000,11352,11352
2000964000,8640,8928
2000965000,7688,7688
2000966000,4232,4232
2000967000,1144,1144
2000970000,72,72
2000973000,144,144
2000974000,1048,1048
2000975000,432,528
2000979000,96,96
2000982000,72,72
2000983000,632,704
2000986000,1048,1048
2000992000,1048,1048
2000993000,1048,1048
2000994000,3800,3800
2000995000,3704,3704
2000996000,2096,2096
2000997000,2168,2168
2000998000,2696,2696
2000999000,1048,1048
2001000000,1216,1216
2001001000,1048,1048
2001002000,5240,5240
2001003000,13624,13624
2001004000,20960,20960
2001005000,28464,28464
2001006000,35800,35800
2001007000,44184,44256
2001008000,52568,52568
2001009000,59904,59904
2001010000,66192,66192
2001011000,74576,74576
2001012000,80864,80864
2001013000,89176,89176
2001014000,97560,97560
2001015000,107040,107040
2001016000,116472,116472
2001017000,124856,124856
2001018000,132192,132264
2001019000,139528,139528
2001020000,146864,146864
2001021000,156296,156368
2001022000,163704,163704
2001023000,173136,173136
2001024000,181520,181520
2001025000,188976,188976
2001026000,191072,191072
2001027000,192120,192120
2001028000,194216,194216
2001029000,193752,193752
2001030000,191656,191656
2001031000,192240,192240
2001032000,189096,189096
2001033000,190704,190848
2001034000,191896,191896
2001035000,191896,191968
2001036000,190040,190040
2001037000,186896,187040
2001038000,183752,183752
2001039000,180608,180608
2001040000,178512,178584
2001041000,175928,175928
2001042000,172784,172784
2001043000,169640,169784
2001044000,166496,166496
2001045000,163352,163352
2001046000,160208,160208
2001047000,157064,157160
2001048000,153776,153776
2001049000,150632,150728
2001050000,147488,147488
2001051000,145392,145392
2001052000,142248,142248
2001053000,140224,140320
2001054000,137080,137152
2001055000,133936,134008
2001056000,130792,130792
2001057000,127648,129256
2001058000,125064,125064
2001059000,121920,122160
2001060000,119896,120456
2001061000,116752,116752
2001062000,113608,113608
2001063000,110464,110464
2001064000,107320,107320
2001065000,104176,104176
2001066000,101032,101032
2001067000,97888,99008
2001068000,94744,96352
2001069000,92160,95304
2001070000,89016,93592
2001071000,87552,90080
2001072000,84408,85456
2001073000,82384,82384
2001074000,80216,80776
2001075000,77072,77072
2001076000,73928,76096
2001077000,70784,71832
2001078000,68688,69736
2001079000,67784,68832
2001080000,64640,65688
2001081000,61496,61496
2001082000,59472,59568
2001083000,56328,56328
2001084000,53184,53184
2001085000,49456,49456
2001086000,46776,46776
2001087000,44192,44192
2001088000,41048,42096
2001089000,41048,43144
2001090000,39096,42312
2001091000,36512,37312
2001092000,33832,33832
2001093000,31736,32856
2001094000,30176,30176
2001095000,28568,28568
2001096000,26328,26328
2001097000,24232,24232
2001098000,22944,23600
2001099000,21992,21992
2001100000,19120,19120
2001101000,15272,15272
2001102000,12544,12544
2001103000,9744,9816
2001104000,6528,6600
2001105000,3384,4672
2001106000,1144,2992
2001107000,3144,5408
2001108000,5480,6600
2001109000,3384,3624
2001110000,2336,2408
2001119000,144,144
2001124000,96,96
2001126000,1288,1288
2001127000,2168,2168
2001128000,3240,3240
2001129000,2192,2192
2001130000,2096,2096
2001131000,2096,2096
2001132000,1048,2096
2001133000,2096,2096
