scheme,time_ns,time_us,queue_bytes
dcqcn,2000000000,0.0,0
dcqcn,2000001000,1.0,0
dcqcn,2000002000,2.0,6288
dcqcn,2000003000,3.0,15720
dcqcn,2000004000,4.0,25152
dcqcn,2000005000,5.0,34584
dcqcn,2000006000,6.0,44016
dcqcn,2000007000,7.0,53448
dcqcn,2000008000,8.0,62880
dcqcn,2000009000,9.0,72312
dcqcn,2000010000,10.0,81744
dcqcn,2000011000,11.0,91176
dcqcn,2000012000,12.0,100608
dcqcn,2000013000,13.0,110040
dcqcn,2000014000,14.0,119472
dcqcn,2000015000,15.0,128904
dcqcn,2000016000,16.0,138336
dcqcn,2000017000,17.0,147768
dcqcn,2000018000,18.0,157200
dcqcn,2000019000,19.0,166632
dcqcn,2000020000,20.0,176064
dcqcn,2000021000,21.0,185496
dcqcn,2000022000,22.0,194928
dcqcn,2000023000,23.0,204360
dcqcn,2000024000,24.0,213792
dcqcn,2000025000,25.0,223224
dcqcn,2000026000,26.0,232656
dcqcn,2000027000,27.0,242088
dcqcn,2000028000,28.0,251520
dcqcn,2000029000,29.0,260952
dcqcn,2000030000,30.0,270384
dcqcn,2000031000,31.0,279816
dcqcn,2000032000,32.0,289248
dcqcn,2000033000,33.0,298680
dcqcn,2000034000,34.0,308112
dcqcn,2000035000,35.0,317544
dcqcn,2000036000,36.0,326976
dcqcn,2000037000,37.0,336408
dcqcn,2000038000,38.0,345840
dcqcn,2000039000,39.0,355272
dcqcn,2000040000,40.0,364704
dcqcn,2000041000,41.0,374136
dcqcn,2000042000,42.0,383568
dcqcn,2000043000,43.0,393000
dcqcn,2000044000,44.0,402432
dcqcn,2000045000,45.0,411864
dcqcn,2000046000,46.0,421296
dcqcn,2000047000,47.0,430728
dcqcn,2000048000,48.0,440160
dcqcn,2000049000,49.0,449592
dcqcn,2000050000,50.0,459024
dcqcn,2000051000,51.0,468456
dcqcn,2000052000,52.0,477888
dcqcn,2000053000,53.0,487320
dcqcn,2000054000,54.0,496752
dcqcn,2000055000,55.0,506184
dcqcn,2000056000,56.0,515616
dcqcn,2000057000,57.0,525048
dcqcn,2000058000,58.0,534480
dcqcn,2000059000,59.0,543912
dcqcn,2000060000,60.0,553344
dcqcn,2000061000,61.0,559632
dcqcn,2000062000,62.0,565920
dcqcn,2000063000,63.0,570112
dcqcn,2000064000,64.0,575352
dcqcn,2000065000,65.0,579544
dcqcn,2000066000,66.0,584784
dcqcn,2000067000,67.0,587928
dcqcn,2000068000,68.0,592120
dcqcn,2000069000,69.0,593168
dcqcn,2000070000,70.0,596312
dcqcn,2000071000,71.0,599456
dcqcn,2000072000,72.0,602600
dcqcn,2000073000,73.0,605744
dcqcn,2000074000,74.0,608888
dcqcn,2000075000,75.0,612032
dcqcn,2000076000,76.0,615176
dcqcn,2000077000,77.0,618320
dcqcn,2000078000,78.0,621464
dcqcn,2000079000,79.0,624608
dcqcn,2000080000,80.0,627752
dcqcn,2000081000,81.0,630896
dcqcn,2000082000,82.0,634040
dcqcn,2000083000,83.0,637184
dcqcn,2000084000,84.0,640328
dcqcn,2000085000,85.0,643472
dcqcn,2000086000,86.0,646616
dcqcn,2000087000,87.0,649760
dcqcn,2000088000,88.0,652904
dcqcn,2000089000,89.0,656048
dcqcn,2000090000,90.0,659192
dcqcn,2000091000,91.0,662336
dcqcn,2000092000,92.0,665480
dcqcn,2000093000,93.0,668624
dcqcn,2000094000,94.0,671768
dcqcn,2000095000,95.0,674912
dcqcn,2000096000,96.0,678056
dcqcn,2000097000,97.0,681200
dcqcn,2000098000,98.0,684344
dcqcn,2000099000,99.0,687488
dcqcn,2000100000,100.0,690632
dcqcn,2000101000,101.0,693776
dcqcn,2000102000,102.0,696920
dcqcn,2000103000,103.0,700064
dcqcn,2000104000,104.0,703208
dcqcn,2000105000,105.0,706352
dcqcn,2000106000,106.0,709496
dcqcn,2000107000,107.0,712640
dcqcn,2000108000,108.0,715784
dcqcn,2000109000,109.0,718928
dcqcn,2000110000,110.0,722072
dcqcn,2000111000,111.0,724168
dcqcn,2000112000,112.0,726264
dcqcn,2000113000,113.0,726264
dcqcn,2000114000,114.0,727312
dcqcn,2000115000,115.0,728360
dcqcn,2000116000,116.0,729408
dcqcn,2000117000,117.0,729408
dcqcn,2000118000,118.0,729408
dcqcn,2000119000,119.0,729408
dcqcn,2000120000,120.0,729408
dcqcn,2000121000,121.0,729408
dcqcn,2000122000,122.0,729408
dcqcn,2000123000,123.0,729408
dcqcn,2000124000,124.0,729408
dcqcn,2000125000,125.0,729408
dcqcn,2000126000,126.0,729408
dcqcn,2000127000,127.0,729408
dcqcn,2000128000,128.0,729408
dcqcn,2000129000,129.0,729408
dcqcn,2000130000,130.0,729408
dcqcn,2000131000,131.0,729408
dcqcn,2000132000,132.0,729408
dcqcn,2000133000,133.0,728360
dcqcn,2000134000,134.0,728360
dcqcn,2000135000,135.0,729408
dcqcn,2000136000,136.0,729408
dcqcn,2000137000,137.0,729408
dcqcn,2000138000,138.0,729408
dcqcn,2000139000,139.0,729408
dcqcn,2000140000,140.0,729408
dcqcn,2000141000,141.0,729408
dcqcn,2000142000,142.0,729408
dcqcn,2000143000,143.0,729408
dcqcn,2000144000,144.0,729408
dcqcn,2000145000,145.0,729408
dcqcn,2000146000,146.0,729408
dcqcn,2000147000,147.0,729408
dcqcn,2000148000,148.0,729408
dcqcn,2000149000,149.0,729408
dcqcn,2000150000,150.0,729408
dcqcn,2000151000,151.0,729408
dcqcn,2000152000,152.0,729408
dcqcn,2000153000,153.0,729408
dcqcn,2000154000,154.0,729408
dcqcn,2000155000,155.0,729408
dcqcn,2000156000,156.0,729408
dcqcn,2000157000,157.0,729408
dcqcn,2000158000,158.0,729408
dcqcn,2000159000,159.0,729408
dcqcn,2000160000,160.0,729408
dcqcn,2000161000,161.0,729408
dcqcn,2000162000,162.0,727312
dcqcn,2000163000,163.0,726264
dcqcn,2000164000,164.0,725216
dcqcn,2000165000,165.0,724168
dcqcn,2000166000,166.0,723120
dcqcn,2000167000,167.0,722072
dcqcn,2000168000,168.0,719976
dcqcn,2000169000,169.0,718928
dcqcn,2000170000,170.0,716832
dcqcn,2000171000,171.0,714736
dcqcn,2000172000,172.0,713688
dcqcn,2000173000,173.0,711592
dcqcn,2000174000,174.0,710544
dcqcn,2000175000,175.0,709496
dcqcn,2000176000,176.0,707400
dcqcn,2000177000,177.0,706352
dcqcn,2000178000,178.0,704256
dcqcn,2000179000,179.0,702160
dcqcn,2000180000,180.0,701112
dcqcn,2000181000,181.0,699016
dcqcn,2000182000,182.0,697968
dcqcn,2000183000,183.0,696920
dcqcn,2000184000,184.0,694824
dcqcn,2000185000,185.0,693776
dcqcn,2000186000,186.0,691680
dcqcn,2000187000,187.0,689584
dcqcn,2000188000,188.0,688536
dcqcn,2000189000,189.0,686440
dcqcn,2000190000,190.0,685392
dcqcn,2000191000,191.0,683296
dcqcn,2000192000,192.0,681200
dcqcn,2000193000,193.0,680152
dcqcn,2000194000,194.0,679104
dcqcn,2000195000,195.0,677008
dcqcn,2000196000,196.0,675960
dcqcn,2000197000,197.0,673864
dcqcn,2000198000,198.0,671768
dcqcn,2000199000,199.0,670720
dcqcn,2000200000,200.0,668624
dcqcn,2000201000,201.0,667576
dcqcn,2000202000,202.0,667576
dcqcn,2000203000,203.0,665480
dcqcn,2000204000,204.0,664432
dcqcn,2000205000,205.0,662336
dcqcn,2000206000,206.0,660240
dcqcn,2000207000,207.0,659192
dcqcn,2000208000,208.0,657096
dcqcn,2000209000,209.0,656048
dcqcn,2000210000,210.0,655000
dcqcn,2000211000,211.0,652904
dcqcn,2000212000,212.0,651856
dcqcn,2000213000,213.0,649760
dcqcn,2000214000,214.0,646616
dcqcn,2000215000,215.0,644520
dcqcn,2000216000,216.0,641376
dcqcn,2000217000,217.0,640328
dcqcn,2000218000,218.0,639280
dcqcn,2000219000,219.0,636136
dcqcn,2000220000,220.0,632992
dcqcn,2000221000,221.0,629848
dcqcn,2000222000,222.0,627752
dcqcn,2000223000,223.0,626704
dcqcn,2000224000,224.0,624608
dcqcn,2000225000,225.0,621464
dcqcn,2000226000,226.0,618320
dcqcn,2000227000,227.0,616224
dcqcn,2000228000,228.0,615176
dcqcn,2000229000,229.0,613080
dcqcn,2000230000,230.0,609936
dcqcn,2000231000,231.0,606792
dcqcn,2000232000,232.0,603648
dcqcn,2000233000,233.0,602600
dcqcn,2000234000,234.0,601552
dcqcn,2000235000,235.0,598408
dcqcn,2000236000,236.0,595264
dcqcn,2000237000,237.0,592120
dcqcn,2000238000,238.0,590024
dcqcn,2000239000,239.0,588976
dcqcn,2000240000,240.0,586880
dcqcn,2000241000,241.0,583736
dcqcn,2000242000,242.0,580592
dcqcn,2000243000,243.0,578496
dcqcn,2000244000,244.0,577448
